id,gender,ethnicity,major,top,topOut1,topOut2,topOut3,topOut4,topOut5,topOut6,topOut7,topOut8,ae1,ae2,ae3,ae4,ae5,ae6,ae7,ae8,ae9,ae10,ae11,ae12,ae13,ae14,ae15,ae16,ae17,ae18,ae19,ae20,ae21,ae22,ae23,ae24,ae25,ae26,ae27,ae28,grit1,grit2,grit3,grit4,grit5,grit6,grit7,grit8,allReason1,allReason2,allReason3,allReason4,allReason5,allReason6,allReason7,allReason8,allReason9,allReason10,allReason11,allReason12,allReason13,allReason14
49,Woman,White,General,20_Other,3,4,4,4,4,3,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,,,,,,,,,3,2,1,3,4,2,4,3,4,4,4,4,4,2
50,Woman,White,CV,16_Research,3,3,4,3,4,4,4,3,4,2,4,3,2,2,2,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,4,2,3,4,2,2,4,4,4,3,2,3,4,2
51,Woman,Asian,Nano,,,,,,,,,,4,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,
52,Woman,Black,General,12_Military,3,3,3,2,3,3,4,2,3,2,3,3,2,3,3,3,1,3,3,4,4,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,,,,,,,,,2,2,3,3,2,2,3,1,4,3,2,1,3,2
53,Man,White,CV,9_Job,3,3,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,4,4,4,4,4,2,4,4,3,4,2,2,3,2
54,Woman,White,General,20_Other,2,2,3,3,3,2,3,3,4,1,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,,,,,,,2,2,3,3,3,2,2,2,3,3,3,2,3,3
55,Other (please fill in below),White,Che,1_Design,3,3,3,3,3,2,3,3,4,1,4,3,2,2,3,3,2,3,4,4,4,3,3,3,2,3,2,3,4,3,4,3,2,2,3,2,,,,,,,,,3,3,3,4,3,2,2,2,4,3,3,3,2,1
56,Woman,White,General,10_Community,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,3,3,3,2,2,2,3
57,Man,White,Che,6_Fraternity,3,2,3,2,3,2,3,3,3,2,4,4,1,2,2,4,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,,,,,,,,,2,3,3,4,4,2,3,2,3,2,3,3,3,2
58,Woman,White,General,10_Community,2,2,3,3,3,3,3,2,3,2,3,3,1,2,2,3,2,3,4,4,4,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,,1,3,3,3,2,3,3,2,3,3,2,2,3,3
59,Woman,"White,Native",Bldg,16_Research,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,4,4,4,4,4,3,3,3,2,2,3,3,3,3,2,2,1,3,,,,,,,,,1,4,1,3,1,3,2,2,4,4,4,3,4,2
60,Woman,White,General,2_Culture,3,3,3,2,3,2,2,3,4,3,4,3,3,2,2,4,1,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,2,2,,,,,,,,,2,2,3,3,2,2,3,2,4,2,2,3,2,3
61,Man,White,General,1_Design,4,3,3,3,4,4,4,4,4,2,4,4,1,2,1,4,1,3,3,4,3,4,4,3,3,3,2,4,4,3,4,4,4,4,4,3,,,,,,,,,3,4,4,4,4,1,1,2,4,4,3,2,3,2
62,Other (please fill in below),White,General,10_Community,3,3,2,2,2,2,3,3,4,1,4,3,1,1,1,3,1,3,3,4,4,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,,,,,,,,,2,2,3,3,3,2,2,2,3,4,2,2,3,3
63,Woman,White,CV,16_Research,4,4,4,4,4,4,4,4,3,2,3,3,2,2,1,2,1,3,3,4,3,3,3,3,2,2,3,4,4,4,4,3,3,4,4,4,,,,,,,,,3,3,3,3,3,2,2,3,3,4,2,2,2,2
64,Man,White,CV,18_Sports,2,2,4,2,4,2,2,4,4,1,4,4,1,1,1,4,1,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,2,3,2,2,,,,,,,,,4,4,4,4,2,1,2,2,4,2,4,4,4,2
65,Woman,"Black,Hispanic",CV,15_Professional,2,3,3,3,3,3,4,3,3,2,3,3,1,1,1,4,1,4,3,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,,,,,,,,,1,3,3,3,3,2,3,2,4,4,3,2,3,2
66,Man,White,General,16_Research,3,3,3,2,3,2,3,2,4,1,3,3,3,2,3,3,2,3,4,4,4,4,3,3,3,3,2,4,4,4,3,3,3,3,2,2,,,,,,,,,3,3,3,3,3,2,2,2,4,3,3,3,3,2
67,Man,"White,Native",General,10_Community,4,4,4,4,4,4,4,3,4,1,3,4,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,2,3,3,4,4,3,4,4,4,4,4,3,3,3
68,Woman,White,General,20_Other,3,4,4,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,,,,,,,,,3,2,3,3,2,2,4,2,3,2,4,4,4,2
69,Man,"White,6",General,20_Other,3,3,4,3,4,2,4,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,2,,,,,,,,,2,4,4,3,3,3,3,2,4,3,4,4,3,3
70,Man,Hispanic,,18_Sports,2,2,2,4,2,3,3,4,1,2,2,2,3,3,3,3,4,2,4,4,4,4,4,4,2,4,2,4,4,4,1,1,4,4,4,2,,,,,,,,,4,4,3,2,3,1,1,1,4,1,4,4,4,3
71,Man,Asian,General,16_Research,4,4,4,4,4,4,4,4,4,2,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,,,,,,,,,4,4,4,4,4,1,4,1,4,4,4,1,4,1
72,Man,White,General,1_Design,4,4,4,3,3,3,2,4,3,3,3,3,2,2,2,3,2,4,3,3,4,4,4,3,2,3,2,3,3,4,3,3,3,3,3,3,,,,,,,,,3,4,3,3,2,1,3,2,4,3,4,4,4,2
73,Man,White,General,20_Other,2,2,2,2,2,2,2,3,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,2,3,3,2,3,2,3,2,3,2,3,3,3,2
74,Woman,6,CV,2_Culture,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,2
75,Man,"White,Native",General,18_Sports,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
76,Man,White,General,,,,,,,,,,3,1,4,4,2,2,2,3,1,2,4,4,4,1,3,4,2,2,3,3,3,3,4,4,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,
77,Woman,White,General,2_Culture,2,3,4,2,4,3,2,2,4,1,4,4,1,1,2,4,1,3,4,2,3,3,3,3,3,2,3,2,3,2,4,4,2,2,3,3,,,,,,,,,1,3,3,4,2,4,4,2,4,2,3,4,4,2
78,Man,"White,Asian",Mech,18_Sports,3,2,3,2,3,3,2,3,3,2,3,3,2,2,2,4,2,3,3,4,4,3,3,3,3,2,3,4,4,4,4,3,3,3,4,3,,,,,,,,,2,3,2,3,3,2,3,2,4,3,4,4,3,2
79,Man,6,CV,,,,,,,,,,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,
80,Woman,White,General,18_Sports,3,2,3,3,3,2,2,3,3,2,3,3,2,3,2,3,2,3,3,4,4,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,,,,,,,,,3,3,3,3,2,2,3,2,3,3,3,3,2,3
81,Man,White,General,20_Other,3,2,3,2,3,3,3,2,3,2,3,3,3,2,2,3,1,2,3,3,3,3,3,3,4,3,2,4,3,3,3,3,4,4,4,4,,,,,,,,,1,3,3,3,2,1,3,2,3,2,2,3,3,3
82,Man,White,General,17_Public,4,4,4,4,4,4,4,4,4,1,4,4,3,2,3,3,2,4,3,4,3,3,4,2,3,4,2,3,3,2,3,3,4,4,4,2,,,,,,,,,4,4,4,4,4,1,3,1,3,3,3,1,3,4
83,Man,White,General,3_Eng,3,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,2,2,3,2,1,3,3,3,2,3,2,,,,,,,,,3,3,2,2,3,2,2,2,2,2,3,2,2,4
84,Man,White,General,1_Design,3,3,3,2,3,2,3,3,3,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,3,3,2,2,3,2,3,2,4,4,4,4,2,2
85,Man,Asian,Elec,2_Culture,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86,Woman,White,CV,16_Research,3,3,4,2,3,3,4,3,4,1,4,3,2,1,2,3,2,3,3,4,4,3,3,3,2,2,2,3,3,4,4,4,3,3,2,2,,,,,,,,,3,2,3,3,3,2,2,2,3,4,2,1,3,2
87,Woman,White,General,,,,,,,,,,4,1,3,3,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,
88,Man,White,CV,9_Job,3,3,4,3,4,2,2,4,4,1,4,3,3,3,3,3,2,4,2,3,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,2,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,3
89,Man,White,General,1_Design,3,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,3,2,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,4,4,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
90,Man,White,CV,2_Culture,3,3,4,2,4,4,2,3,4,1,4,4,1,1,2,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,,,,,,,,,2,2,3,4,1,1,3,1,4,2,2,3,1,3
91,Man,White,General,,,,,,,,,,3,2,3,2,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
92,Man,White,Material,,,,,,,,,,4,1,3,4,3,2,2,4,2,3,4,4,4,3,3,3,2,3,3,3,3,3,4,4,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,
93,Woman,White,General,10_Community,2,3,3,3,2,2,3,3,4,2,3,3,2,1,1,3,2,3,4,4,4,3,3,2,3,2,2,2,3,2,1,3,3,3,3,2,,,,,,,,,3,3,2,3,3,2,2,2,3,4,3,2,2,4
94,Man,White,Bldg,18_Sports,4,4,4,3,4,3,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,,,,,,,,,3,3,2,3,3,2,3,1,4,3,4,4,4,1
95,Man,White,CV,12_Military,3,3,4,3,4,4,3,4,4,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,2,2,3,2,3,3,3,2,3,2
96,Man,White,General,2_Culture,2,2,2,1,2,4,4,1,4,3,4,3,4,2,3,4,1,3,4,4,4,4,4,4,4,4,4,4,3,1,2,4,4,4,4,4,,,,,,,,,4,4,3,4,4,1,4,2,4,1,1,4,2,4
97,Man,White,Che,20_Other,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,2,2,3,3,2,2,2,2,3,3,2,2,3,2
98,Man,Hispanic,General,2_Culture,3,3,3,3,2,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,2,2,3,3,3,2,3,2,3,3,3,3,3,2
99,Woman,3,General,10_Community,4,4,4,4,4,3,4,4,4,1,4,4,1,1,1,4,1,3,4,4,4,4,4,3,3,2,2,2,2,2,4,4,3,3,3,3,,,,,,,,,2,2,3,4,4,2,4,3,4,4,1,1,2,3
100,Man,White,General,9_Job,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,,,,,,,,,4,4,2,4,4,3,4,4,4,4,4,4,4,2
101,Woman,White,Bio,19_Government,3,4,4,2,4,3,4,2,4,1,4,3,2,3,2,4,1,3,4,4,4,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,1,4,4,4,2,2,4,2,4,4,4,4,4,1
102,Woman,6,General,16_Research,4,4,3,1,2,1,3,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,,,,,,,,,1,3,1,3,3,1,1,1,4,4,1,1,3,1
103,Woman,White,General,9_Job,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,1,4,4,4,1,4,4,1,4,4,1,1,1,1
104,Man,Asian,General,,,,,,,,,,3,2,3,3,2,2,2,3,2,3,3,4,4,4,3,2,2,2,3,3,3,3,3,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,
105,Man,White,,20_Other,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
